Date,VaR_1,ES_1,VaR_2,ES_2,VaR_5,ES_5
2001-01-04,,,,,,
2001-01-05,,,,,,
2001-01-08,,,,,,
2001-01-09,,,,,,
2001-01-10,,,,,,
2001-01-11,,,,,,
2001-01-12,,,,,,
2001-01-17,,,,,,
2001-01-18,,,,,,
2001-01-19,,,,,,
2001-01-22,,,,,,
2001-01-23,,,,,,
2001-01-24,,,,,,
2001-01-25,,,,,,
2001-01-26,,,,,,
2001-01-29,,,,,,
2001-01-30,,,,,,
2001-01-31,,,,,,
2001-02-01,,,,,,
2001-02-02,,,,,,
2001-02-05,,,,,,
2001-02-06,,,,,,
2001-02-07,,,,,,
2001-02-08,,,,,,
2001-02-09,,,,,,
2001-02-12,,,,,,
2001-02-13,,,,,,
2001-02-14,,,,,,
2001-02-15,,,,,,
2001-02-16,,,,,,
2001-02-21,,,,,,
2001-02-22,,,,,,
2001-02-23,,,,,,
2001-02-26,,,,,,
2001-02-27,,,,,,
2001-02-28,,,,,,
2001-03-01,,,,,,
2001-03-02,,,,,,
2001-03-05,,,,,,
2001-03-06,,,,,,
2001-03-07,,,,,,
2001-03-08,,,,,,
2001-03-09,,,,,,
2001-03-12,,,,,,
2001-03-13,,,,,,
2001-03-14,,,,,,
2001-03-15,,,,,,
2001-03-16,,,,,,
2001-03-19,,,,,,
2001-03-20,,,,,,
2001-03-21,,,,,,
2001-03-22,,,,,,
2001-03-23,,,,,,
2001-03-26,,,,,,
2001-03-27,,,,,,
2001-03-28,,,,,,
2001-03-29,,,,,,
2001-03-30,,,,,,
2001-04-02,,,,,,
2001-04-03,,,,,,
2001-04-04,,,,,,
2001-04-05,,,,,,
2001-04-06,,,,,,
2001-04-09,,,,,,
2001-04-10,,,,,,
2001-04-11,,,,,,
2001-04-12,,,,,,
2001-04-17,,,,,,
2001-04-18,,,,,,
2001-04-19,,,,,,
2001-04-20,,,,,,
2001-04-23,,,,,,
2001-04-24,,,,,,
2001-04-25,,,,,,
2001-04-26,,,,,,
2001-04-27,,,,,,
2001-04-30,,,,,,
2001-05-01,,,,,,
2001-05-02,,,,,,
2001-05-03,,,,,,
2001-05-04,,,,,,
2001-05-07,,,,,,
2001-05-08,,,,,,
2001-05-09,,,,,,
2001-05-10,,,,,,
2001-05-11,,,,,,
2001-05-14,,,,,,
2001-05-15,,,,,,
2001-05-16,,,,,,
2001-05-17,,,,,,
2001-05-18,,,,,,
2001-05-21,,,,,,
2001-05-22,,,,,,
2001-05-23,,,,,,
2001-05-24,,,,,,
2001-05-25,,,,,,
2001-05-30,,,,,,
2001-05-31,,,,,,
2001-06-01,,,,,,
2001-06-04,,,,,,
2001-06-05,,,,,,
2001-06-06,,,,,,
2001-06-07,,,,,,
2001-06-08,,,,,,
2001-06-11,,,,,,
2001-06-12,,,,,,
2001-06-13,,,,,,
2001-06-14,,,,,,
2001-06-15,,,,,,
2001-06-18,,,,,,
2001-06-19,,,,,,
2001-06-20,,,,,,
2001-06-21,,,,,,
2001-06-22,,,,,,
2001-06-25,,,,,,
2001-06-26,,,,,,
2001-06-27,,,,,,
2001-06-28,,,,,,
2001-06-29,,,,,,
2001-07-02,,,,,,
2001-07-03,,,,,,
2001-07-06,,,,,,
2001-07-09,,,,,,
2001-07-10,,,,,,
2001-07-11,,,,,,
2001-07-12,,,,,,
2001-07-13,,,,,,
2001-07-16,,,,,,
2001-07-17,,,,,,
2001-07-18,,,,,,
2001-07-19,,,,,,
2001-07-20,,,,,,
2001-07-23,,,,,,
2001-07-24,,,,,,
2001-07-25,,,,,,
2001-07-26,,,,,,
2001-07-27,,,,,,
2001-07-30,,,,,,
2001-07-31,,,,,,
2001-08-01,,,,,,
2001-08-02,,,,,,
2001-08-03,,,,,,
2001-08-06,,,,,,
2001-08-07,,,,,,
2001-08-08,,,,,,
2001-08-09,,,,,,
2001-08-10,,,,,,
2001-08-13,,,,,,
2001-08-14,,,,,,
2001-08-15,,,,,,
2001-08-16,,,,,,
2001-08-17,,,,,,
2001-08-20,,,,,,
2001-08-21,,,,,,
2001-08-22,,,,,,
2001-08-23,,,,,,
2001-08-24,,,,,,
2001-08-27,,,,,,
2001-08-28,,,,,,
2001-08-29,,,,,,
2001-08-30,,,,,,
2001-08-31,,,,,,
2001-09-05,,,,,,
2001-09-06,,,,,,
2001-09-07,,,,,,
2001-09-10,,,,,,
2001-09-17,,,,,,
2001-09-18,,,,,,
2001-09-19,,,,,,
2001-09-20,,,,,,
2001-09-21,,,,,,
2001-09-24,,,,,,
2001-09-25,,,,,,
2001-09-26,,,,,,
2001-09-27,,,,,,
2001-09-28,,,,,,
2001-10-01,,,,,,
2001-10-02,,,,,,
2001-10-03,,,,,,
2001-10-04,,,,,,
2001-10-05,,,,,,
2001-10-08,,,,,,
2001-10-09,,,,,,
2001-10-10,,,,,,
2001-10-11,,,,,,
2001-10-12,,,,,,
2001-10-15,,,,,,
2001-10-16,,,,,,
2001-10-17,,,,,,
2001-10-18,,,,,,
2001-10-19,,,,,,
2001-10-22,,,,,,
2001-10-23,,,,,,
2001-10-24,,,,,,
2001-10-25,,,,,,
2001-10-26,,,,,,
2001-10-29,,,,,,
2001-10-30,,,,,,
2001-10-31,,,,,,
2001-11-01,,,,,,
2001-11-02,,,,,,
2001-11-05,,,,,,
2001-11-06,,,,,,
2001-11-07,,,,,,
2001-11-08,,,,,,
2001-11-09,,,,,,
2001-11-12,,,,,,
2001-11-13,,,,,,
2001-11-14,,,,,,
2001-11-15,,,,,,
2001-11-16,,,,,,
2001-11-19,,,,,,
2001-11-20,,,,,,
2001-11-21,,,,,,
2001-11-27,,,,,,
2001-11-28,,,,,,
2001-11-29,,,,,,
2001-11-30,,,,,,
2001-12-03,,,,,,
2001-12-04,,,,,,
2001-12-05,,,,,,
2001-12-06,,,,,,
2001-12-07,,,,,,
2001-12-10,,,,,,
2001-12-11,,,,,,
2001-12-12,,,,,,
2001-12-13,,,,,,
2001-12-14,,,,,,
2001-12-17,,,,,,
2001-12-18,,,,,,
2001-12-19,,,,,,
2001-12-20,,,,,,
2001-12-21,,,,,,
2001-12-27,,,,,,
2001-12-28,,,,,,
2001-12-31,,,,,,
2002-01-03,,,,,,
2002-01-04,,,,,,
2002-01-07,,,,,,
2002-01-08,,,,,,
2002-01-09,,,,,,
2002-01-10,,,,,,
2002-01-11,,,,,,
2002-01-14,,,,,,
2002-01-15,,,,,,
2002-01-16,,,,,,
2002-01-17,,,,,,
2002-01-18,,,,,,
2002-01-23,,,,,,
2002-01-24,,,,,,
2002-01-25,,,,,,
2002-01-28,,,,,,
2002-01-29,,,,,,
2002-01-30,,,,,,
2002-01-31,,,,,,
2002-02-01,,,,,,
2002-02-04,,,,,,
2002-02-05,,,,,,
2002-02-06,,,,,,
2002-02-07,,,,,,
2002-02-08,,,,,,
2002-02-11,,,,,,
2002-02-12,,,,,,
2002-02-13,,,,,,
2002-02-14,,,,,,
2002-02-15,,,,,,
2002-02-20,,,,,,
2002-02-21,,,,,,
2002-02-22,,,,,,
2002-02-25,,,,,,
2002-02-26,,,,,,
2002-02-27,,,,,,
2002-02-28,,,,,,
2002-03-01,,,,,,
2002-03-04,,,,,,
2002-03-05,,,,,,
2002-03-06,,,,,,
2002-03-07,,,,,,
2002-03-08,,,,,,
2002-03-11,,,,,,
2002-03-12,,,,,,
2002-03-13,,,,,,
2002-03-14,,,,,,
2002-03-15,,,,,,
2002-03-18,,,,,,
2002-03-19,,,,,,
2002-03-20,,,,,,
2002-03-21,,,,,,
2002-03-22,,,,,,
2002-03-25,,,,,,
2002-03-26,,,,,,
2002-03-27,,,,,,
2002-03-28,,,,,,
2002-04-02,,,,,,
2002-04-03,,,,,,
2002-04-04,,,,,,
2002-04-05,,,,,,
2002-04-08,,,,,,
2002-04-09,,,,,,
2002-04-10,,,,,,
2002-04-11,,,,,,
2002-04-12,,,,,,
2002-04-15,,,,,,
2002-04-16,,,,,,
2002-04-17,,,,,,
2002-04-18,,,,,,
2002-04-19,,,,,,
2002-04-22,,,,,,
2002-04-23,,,,,,
2002-04-24,,,,,,
2002-04-25,,,,,,
2002-04-26,,,,,,
2002-04-29,,,,,,
2002-04-30,,,,,,
2002-05-01,,,,,,
2002-05-02,,,,,,
2002-05-03,,,,,,
2002-05-06,,,,,,
2002-05-07,,,,,,
2002-05-08,,,,,,
2002-05-09,,,,,,
2002-05-10,,,,,,
2002-05-13,,,,,,
2002-05-14,,,,,,
2002-05-15,,,,,,
2002-05-16,,,,,,
2002-05-17,,,,,,
2002-05-20,,,,,,
2002-05-21,,,,,,
2002-05-22,,,,,,
2002-05-23,,,,,,
2002-05-24,,,,,,
2002-05-29,,,,,,
2002-05-30,,,,,,
2002-05-31,,,,,,
2002-06-03,,,,,,
2002-06-04,,,,,,
2002-06-05,,,,,,
2002-06-06,,,,,,
2002-06-07,,,,,,
2002-06-10,,,,,,
2002-06-11,,,,,,
2002-06-12,,,,,,
2002-06-13,,,,,,
2002-06-14,,,,,,
2002-06-17,,,,,,
2002-06-18,,,,,,
2002-06-19,,,,,,
2002-06-20,,,,,,
2002-06-21,,,,,,
2002-06-24,,,,,,
2002-06-25,,,,,,
2002-06-26,,,,,,
2002-06-27,,,,,,
2002-06-28,,,,,,
2002-07-01,,,,,,
2002-07-02,,,,,,
2002-07-03,,,,,,
2002-07-09,,,,,,
2002-07-10,,,,,,
2002-07-11,,,,,,
2002-07-12,,,,,,
2002-07-15,,,,,,
2002-07-16,,,,,,
2002-07-17,,,,,,
2002-07-18,,,,,,
2002-07-19,,,,,,
2002-07-22,,,,,,
2002-07-23,,,,,,
2002-07-24,,,,,,
2002-07-25,,,,,,
2002-07-26,,,,,,
2002-07-29,,,,,,
2002-07-30,,,,,,
2002-07-31,,,,,,
2002-08-01,,,,,,
2002-08-02,,,,,,
2002-08-05,,,,,,
2002-08-06,,,,,,
2002-08-07,,,,,,
2002-08-08,,,,,,
2002-08-09,,,,,,
2002-08-12,,,,,,
2002-08-13,,,,,,
2002-08-14,,,,,,
2002-08-15,,,,,,
2002-08-16,,,,,,
2002-08-19,,,,,,
2002-08-20,,,,,,
2002-08-21,,,,,,
2002-08-22,,,,,,
2002-08-23,,,,,,
2002-08-26,,,,,,
2002-08-27,,,,,,
2002-08-28,,,,,,
2002-08-29,,,,,,
2002-08-30,,,,,,
2002-09-04,,,,,,
2002-09-05,,,,,,
2002-09-06,,,,,,
2002-09-09,,,,,,
2002-09-10,,,,,,
2002-09-11,,,,,,
2002-09-12,,,,,,
2002-09-13,,,,,,
2002-09-16,,,,,,
2002-09-17,,,,,,
2002-09-18,,,,,,
2002-09-19,,,,,,
2002-09-20,,,,,,
2002-09-23,,,,,,
2002-09-24,,,,,,
2002-09-25,,,,,,
2002-09-26,,,,,,
2002-09-27,,,,,,
2002-09-30,,,,,,
2002-10-01,,,,,,
2002-10-02,,,,,,
2002-10-03,,,,,,
2002-10-04,,,,,,
2002-10-07,,,,,,
2002-10-08,,,,,,
2002-10-09,,,,,,
2002-10-10,,,,,,
2002-10-11,,,,,,
2002-10-14,,,,,,
2002-10-15,-1.6841532286582968,-1.818304351264686,-1.4132846184440095,-1.6138583824876618,-1.1826700203211853,-1.4361663984118866
2002-10-16,-1.6675178470863148,-1.8003438793892255,-1.3993247669901374,-1.5979173448558235,-1.1709880862031954,-1.4219805300289523
2002-10-17,-1.6481708972663272,-1.7794558494625135,-1.383089458866672,-1.579377917082123,-1.157401996085382,-1.4054823642026972
2002-10-18,-1.6223688542190917,-1.7515985462516392,-1.3614372541013497,-1.554652825119878,-1.1392829186429378,-1.383479599487317
2002-10-21,-1.5930903612750362,-1.7199878767396612,-1.3368677297701106,-1.5265963867505419,-1.1187225591365138,-1.3585122823531803
2002-10-22,-1.7232276062036314,-1.8604911959677914,-1.4460745189236055,-1.6513018351788782,-1.210109385159974,-1.4694871836673806
2002-10-23,-1.7251040206372472,-1.8625170760785563,-1.4476491426643254,-1.6530999299787938,-1.2114270675766168,-1.471087301348597
2002-10-24,-1.7106168590362643,-1.84687594050473,-1.4354920049958646,-1.6392174477970354,-1.2012536870234232,-1.458733333582689
2002-10-25,-1.685784635380885,-1.8200657075901598,-1.414653639972589,-1.6154216959496994,-1.183815649940227,-1.4375575850790232
2002-10-28,-1.796914556744634,-1.9400476760553378,-1.5079101239074872,-1.7219131672043437,-1.2618548830225176,-1.5323239378104312
2002-10-29,-1.7751183872322918,-1.9165153339912087,-1.489619513178835,-1.7010267476820304,-1.2465488670368925,-1.5137371930089185
2002-10-30,-1.7712398558968088,-1.9123278584789931,-1.4863647804233373,-1.6973101023073711,-1.2438252296295016,-1.510429764513445
2002-10-31,-1.748819024474568,-1.88812109709867,-1.4675499744765987,-1.6758250936291805,-1.2280805546779925,-1.4913103375128909
2002-11-01,-1.7503480200839097,-1.889771884759924,-1.4688330560511136,-1.6772902705138806,-1.229154267709325,-1.492614192815419
2002-11-04,-1.7315024443271076,-1.8694251658167904,-1.4530184841406777,-1.659231289958916,-1.215920259613151,-1.4765435751304672
2002-11-05,-1.705334476700547,-1.8411727903265658,-1.431059207803321,-1.6341555467378346,-1.197544217411027,-1.454228767201775
2002-11-06,-1.7596292805373466,-1.899792443448132,-1.4766215769620434,-1.6861841405774516,-1.2356718863572536,-1.5005288137485477
2002-11-07,-1.7578876457927204,-1.8979120788942545,-1.475160055793041,-1.6845151998991228,-1.2344488508496947,-1.4990436298258643
2002-11-08,-1.756538327595275,-1.8964552808381714,-1.474027753445852,-1.6832222008735382,-1.2335013134446429,-1.497892994941246
2002-11-11,-1.7159171487584557,-1.8525984244811444,-1.4399398294634977,-1.6442965088065769,-1.2049757318153012,-1.4632531705377405
2002-11-12,-1.6942973917760835,-1.8292565470762898,-1.4217972581833145,-1.6235791385343101,-1.1897935987441606,-1.4448168620169002
2002-11-13,-1.668291443920299,-1.8011790970317902,-1.3999739433760756,-1.5986586525432398,-1.1715313323685679,-1.4226402169030326
2002-11-14,-1.707105799358628,-1.843085207582832,-1.432545642068546,-1.635852936186247,-1.1987881007871832,-1.4557392675760839
2002-11-15,-1.6809906135649493,-1.8148898182591646,-1.4106306584661235,-1.610827771737922,-1.1804491237940344,-1.4334694695037051
2002-11-18,-1.6620019474059224,-1.794388611056553,-1.3946960099135683,-1.5926316732288694,-1.1671146327215924,-1.417276831076155
2002-11-19,-1.8074100129530617,-1.95137914718727,-1.5167175569667346,-1.731970553724629,-1.2692251514732036,-1.5412739675856646
2002-11-20,-1.7931547364465057,-1.9359883675009097,-1.5047550094529125,-1.7183102779888442,-1.2592146085672449,-1.5291177404856542
2002-11-21,-1.8052543679979958,-1.9490517944649166,-1.5149086123849829,-1.7299048832017803,-1.2677113838305503,-1.5394357352926102
2002-11-22,-1.8233551866060649,-1.9685944326741045,-1.5300982092011879,-1.7472501920153929,-1.2804223979750824,-1.5548712592261227
2002-11-25,-1.8193233522404817,-1.964241442788286,-1.526714829710515,-1.743386642323491,-1.2775911059347052,-1.5514331011409312
2002-11-26,-1.8404894543871901,-1.9870935295092391,-1.54447670914484,-1.763669292852427,-1.2924546670584816,-1.5694825542258344
2002-11-27,-1.826580230158416,-1.97207636687372,-1.5328045570374715,-1.750340625523629,-1.28268713390213,-1.557621424178151
2002-12-03,-1.8301872454809016,-1.9759706987814996,-1.535831442707383,-1.7537970876880558,-1.2852201034752972,-1.5606973166305484
2002-12-04,-1.806709585500266,-1.950622927228485,-1.5161297818590262,-1.7312993614027052,-1.2687332873507855,-1.5406766761070076
2002-12-05,-1.818100666585977,-1.96292136418262,-1.5256887931247107,-1.7422149903270499,-1.2767324942340277,-1.550390452513158
2002-12-06,-1.8312294900453654,-1.9770959632731138,-1.5367060592129056,-1.7547958300223874,-1.2859520032687717,-1.5615860936117276
2002-12-09,-1.8577574499007277,-2.0057370061511466,-1.5589674288937105,-1.7802165397620704,-1.3045808443310634,-1.5842078859251518
2002-12-10,-1.832135789969107,-1.978074454461949,-1.5374665955584859,-1.7556643019073024,-1.2865884380841968,-1.5623589434185106
2002-12-11,-1.830691812682915,-1.976515457253184,-1.5362548584948794,-1.7542805947672462,-1.2855744278282744,-1.56112758772996
2002-12-12,-1.813476265107074,-1.9579286062862482,-1.5218081512873587,-1.7377836066716201,-1.2734850812920449,-1.5464469811568984
2002-12-13,-1.8433357447673853,-1.9901665409758946,-1.5468652200864244,-1.7663967819614386,-1.2944534295490342,-1.5719097363459649
2002-12-16,-1.8408934466711775,-1.9875297017739426,-1.5448157258514044,-1.7640564229085756,-1.2927383642628585,-1.5698270597812716
2002-12-17,-2.039174905170764,-2.201605257744662,-1.7112068419634208,-1.9540618146070305,-1.4319783886042536,-1.7389121307115867
2002-12-18,-1.9953064293018183,-2.1542424411086714,-1.6743938957746969,-1.9120243643897141,-1.4011724438929651,-1.7015031646386396
2002-12-19,-1.9786177168474397,-2.1362243902826332,-1.660389290842046,-1.896032221852374,-1.3894530590046446,-1.6872718181958752
2002-12-20,-1.9639477188874268,-2.120385854530761,-1.6480787230643097,-1.8819745347156132,-1.3791512845044098,-1.674761936211012
2002-12-23,-1.926561883793647,-2.0800220530250986,-1.6167057904910567,-1.846149146428073,-1.3528976719484374,-1.6428810602760895
2002-12-24,-2.032704335082347,-2.194619274790899,-1.7057769576613797,-1.9478613195457914,-1.4274345328981703,-1.7333943338856075
2002-12-27,-1.997219290719869,-2.156307671386191,-1.6759991045961649,-1.9138573849139318,-1.4025157206291086,-1.7031343625882533
2002-12-30,-1.9673545706145419,-2.124064078824201,-1.6509376381922918,-1.8852391879099533,-1.3815436923523277,-1.6776671385949735
2002-12-31,-2.0382056261345967,-2.2005587708460457,-1.7103934556696527,-1.953132992293912,-1.4312977277012584,-1.738085575289704
2003-01-03,-2.0000926031244757,-2.159409857314963,-1.6784102915097514,-1.9166107681754863,-1.4045334589097593,-1.705584587815636
2003-01-06,-2.0558032803026647,-2.219558165082484,-1.7251608138489563,-1.969996138240484,-1.443655402560294,-1.7530920243330528
2003-01-07,-2.0731105855254697,-2.2382440826461507,-1.739684520980755,-1.9865810541120337,-1.4558091844557017,-1.7678508774974133
2003-01-08,-2.1029748984980867,-2.2704872356453,-1.7647456457325819,-2.0151988609766085,-1.4767809268299636,-1.7933177543071308
2003-01-09,-2.0827160534791336,-2.248614673563222,-1.747745105897179,-1.995785599583877,-1.462554472703021,-1.7760419672874224
2003-01-10,-2.168286911090016,-2.341001672612753,-1.8195532851000107,-2.0777848164615476,-1.5226452567168889,-1.8490127565795242
2003-01-13,-2.1369053912828617,-2.307120459761292,-1.7932189715160978,-2.047713129435584,-1.500608079792314,-1.8222520773781212
2003-01-14,-2.1247811073642278,-2.2940304167473418,-1.7830446811485259,-2.036094900820284,-1.4920939927933219,-1.8119130601958073
2003-01-15,-2.094463004840533,-2.2612973276181294,-1.7576027515022064,-2.0070422451198495,-1.470803583869923,-1.7860592130712052
2003-01-16,-2.101007123445233,-2.2683627175907493,-1.7630943552398686,-2.013313218856961,-1.4753990878605963,-1.7916397286011247
2003-01-17,-2.0830134877366855,-2.2489357999284003,-1.7479947026999185,-1.996070619237446,-1.4627633412153616,-1.776295605186376
2003-01-22,-2.0589139459044685,-2.2229166105628844,-1.7277711795647024,-1.9729769678177234,-1.4458398183770358,-1.7557446531663365
2003-01-23,-2.174756733786896,-2.3479868486415523,-1.824982542216268,-2.083984595326614,-1.5271885875790634,-1.8545299160652704
2003-01-24,-2.16347914857455,-2.3358109480676457,-1.815518772861684,-2.0731777250730903,-1.5192690813813494,-1.8449129235840689
2003-01-27,-2.1886656752645446,-2.363003706003422,-1.8366544570484231,-2.0973129917060316,-1.5369559221779,-1.8663908049961369
2003-01-28,-2.2092139648971543,-2.3851887683921853,-1.8538978890467308,-2.1170036165880624,-1.5513856342158745,-1.8839134167235148
2003-01-29,-2.1806836736655884,-2.354385898554425,-1.8299562303715144,-2.08966415075124,-1.5313506875516172,-1.8595841307022403
2003-01-30,-2.196406334653442,-2.3713609471433523,-1.8431501574780436,-2.1047305638296234,-1.5423916780467763,-1.8729916740422046
2003-01-31,-2.1629848812712127,-2.3352773099324375,-1.8151040004019579,-2.0727040879852607,-1.518921989969633,-1.8444914357521973
2003-02-03,-2.1393405361931435,-2.3097495759907294,-1.7952624630386151,-2.0500466338692402,-1.5023181218665869,-1.8243286540434147
2003-02-04,-2.138951246410781,-2.30932927735452,-1.7949357841758085,-2.049673592647223,-1.5020447492618956,-1.8239966860875538
2003-02-05,-2.142459081926428,-2.313116529294003,-1.7978794414950685,-2.053035014669271,-1.5045080713812724,-1.8269880026809624
2003-02-06,-2.119301103808994,-2.2881139038434855,-1.7784460468901688,-2.0308436270506625,-1.488245746798988,-1.807239971764611
2003-02-07,-2.0918900373473726,-2.258519410556388,-1.7554436039139925,-2.0045766706780195,-1.4689967580623648,-1.7838651078110637
2003-02-10,-2.1049416362739275,-2.2726106337986,-1.7663960657773914,-2.0170835091141326,-1.4781620373879223,-1.7949948954722492
2003-02-11,-2.095442793455998,-2.2623551612359396,-1.7584249570806536,-2.0079811383530934,-1.471491624959085,-1.7868947305663667
2003-02-12,-2.107897450311887,-2.2758018930232917,-1.7688764852806433,-2.0199159504746107,-1.4802377111382994,-1.7975154741993125
2003-02-13,-2.08236559288065,-2.248236297047163,-1.7474510111765924,-1.9954497668550197,-1.4623083672797872,-1.7757431110272295
2003-02-14,-2.066914735539687,-2.231554702608025,-1.7344851725283168,-1.9806438126152148,-1.4514582466052126,-1.762567349010952
2003-02-19,-2.0457935853546765,-2.2087511484945344,-1.716761015264965,-1.9604042377987265,-1.436626252286968,-1.744556228837707
2003-02-20,-2.020793451715785,-2.181759630736967,-1.6957817458435969,-1.936447584360144,-1.4190703030683243,-1.7232372946237542
2003-02-21,-1.9999753318588933,-2.1592832448138806,-1.6783118814167663,-1.9164983916934866,-1.4044511070146413,-1.7054845844143642
2003-02-24,-2.034260463902387,-2.1962993569570926,-1.70708280851168,-1.949352497128518,-1.4285272997984155,-1.7347213271098059
2003-02-25,-2.039708624010165,-2.2021814899256302,-1.7116547208223416,-1.954573256563856,-1.432353184234425,-1.7393672609517004
2003-02-26,-2.025435356167514,-2.1867712858043964,-1.6996770755857373,-1.9408957404320812,-1.4223300071966882,-1.7271956916892768
2003-02-27,-2.101060021435688,-2.2684198291674043,-1.7631387454503222,-2.0133639089389916,-1.4754362346393939,-1.791684837511135
2003-02-28,-2.083277012244045,-2.2492203154643047,-1.7482158435833588,-1.9963231444993734,-1.4629483971408979,-1.7765203264505625
2003-03-03,-2.070440963386266,-2.2353618119184366,-1.7374442640717085,-1.9840228592909714,-1.4539344844486617,-1.765574349716247
2003-03-04,-2.065981828872153,-2.230547485316845,-1.7337023087002315,-1.9797498445249848,-1.450803127623949,-1.761771810228632
2003-03-05,-2.0783932588918477,-2.2439475470370054,-1.7441175623964187,-1.991643234054571,-1.4595188584397856,-1.7723556920555408
2003-03-06,-2.0556184955275225,-2.2193586612873593,-1.725005748694559,-1.9698190661942805,-1.443525640368794,-1.752934448596783
2003-03-07,-2.0312126366098076,-2.1930087551676016,-1.7045251745868217,-1.9464318830532643,-1.4263870111924186,-1.732122283821297
2003-03-10,-2.027036382006234,-2.188499841258553,-1.701020602500683,-1.9424299410775039,-1.4234543023195987,-1.728560970972321
2003-03-11,-2.0120519575841898,-2.1723218334240126,-1.6884461786349976,-1.928070951320061,-1.412931726799651,-1.7157829609383843
2003-03-12,-2.000616762416528,-2.1599757684834224,-1.6788501483187794,-1.9171130495907653,-1.4049015414987034,-1.7060315661248844
2003-03-13,-2.0288513781054336,-2.1904594107612234,-1.7025436860455085,-1.9441691810819357,-1.4247288546803913,-1.7301087139962712
2003-03-14,-2.1317352060731434,-2.301538443764348,-1.7888803263696447,-2.0427587425082345,-1.4969773988406092,-1.8178431874116903
2003-03-17,-2.12089458742556,-2.2898343163002424,-1.779783244626523,-2.0323706002786275,-1.4893647455154448,-1.8085988193965188
2003-03-18,-2.1030592420890963,-2.270578297619902,-1.764816424031023,-2.0152796841517473,-1.4768401557853794,-1.79338967854138
2003-03-19,-2.5046665253410416,-2.7041755845000033,-2.101831718374065,-2.400124287074603,-1.7588625310434216,-2.1358614178993385
2003-03-20,-2.647445984232045,-2.858328132471874,-2.2216474273289863,-2.5369442762877408,-1.8591271522635446,-2.257617002696127
2003-03-21,-2.7110096877867593,-2.926954998952493,-2.274987944686056,-2.59785489537996,-1.9037637597262949,-2.3118211295240765
2003-03-24,-2.8926432932005324,-3.123056618116247,-2.4274087436701945,-2.771907298481072,-2.031313092025975,-2.4667096969529907
2003-03-25,-3.141820213577763,-3.39208171087316,-2.636509615757076,-3.0106838271426724,-2.2062936510816864,-2.6791960160218475
2003-03-26,-3.069551619914475,-3.3140565667938278,-2.575864248053644,-2.9414316512186276,-2.1555441719476325,-2.617568769692022
2003-03-27,-3.028105315000755,-3.269308858992621,-2.5410839060816928,-2.9017152729996254,-2.126439158555473,-2.582225316707736
2003-03-28,-3.223379845037502,-3.4801379697973753,-2.704951709188112,-3.0888392423769298,-2.263567614848465,-2.748746220941533
2003-03-31,-3.1154770820799036,-3.363640218844162,-2.614403347803517,-2.98544023121247,-2.1877946028159196,-2.656731836609674
2003-04-01,-3.0946197262376067,-3.3411214715956485,-2.5969005578603386,-2.96545344023061,-2.1731478539108293,-2.638945667803472
2003-04-02,-3.1232637863510355,-3.3720471725686103,-2.620937687546184,-2.992901926351653,-2.1932626929765227,-2.663371970558459
